Genus,Species,Number of Instances,Area Size (sq. .),Neighborhood,Median Income,Latitude,Longitude,Ecoregion,Native vs Non Native,Initials,
Rosa,R. Altissimo,8,300,Huston-Tillotson Univ.,30.2646,-97.7223,"93,850",0,1,MT,
Platanus,racemosa,2,100,Northeast Side,29.312,-98.18.50,40129,1,1,CNPG,
Ebenopsis,ebano,2,300,Northeast Side,29.312,-98.18.50,40129,1,1,CNPG,
Populus,simonii,2,200,Northeast Side,29.312,-98.18.50,40129,1,1,CNPG,
Quercus,virginiana,1,200,Northeast Side,29.31.2,-98.18.50,40129,1,1,CNPG,
Garcinia,cymosa,2,100,Northeast Side,29.4863422,-98.41696,46688,1,0,CNPG,
Cortaderia,speciosa,2,100,Northeast Side,29.4863422,-98.41696 ,46688,1,0,CNPG,
Washingtonia,robusta,3,200,Northeast Side,29.48633422,-98.41696,46688,1,1,CNPG,
Quercus,virginiana,1,100,Northeast Side,29.486422,-98.41696,46688,1,0,CNPG,
Acacia,koaia,2,100,Great Northwest,29.3824,-98.37.31,124722,1,1,CNPG,
Quercus,rotundifolia,3,100,Great Northwest,29.3824,-98.37.31,124722,1,1,CNPG,
Phyllocladus,trichomanoides,3,100,Great Northwest,29.3824,-98.37.31,124097,1,1,CNPG,
Phacelia,hirsuta,1,100,Downtown,29.483,-98.4662,62031,1,1,CNPG,
Justicia,spicigera,8,300,Downtown,29.483,-98.4662,62031,1,1,CNPG,
Zinnia,elegans,4,300,Downtown,29.483,-98.4662,62031,1,1,CNPG,
Euphorbia,handiensis,2,100,Downtown,29.483,-98.4662,62031,1,1,CNPG,
Senegalia,caffra,3,200,Downtown,29.483,-98.4662,62031,1,0,CNPG,
Dasylirion,texanum,7,300,Northeast Side,31.8923694,-98.6172693,71320,1,1,CNPG,
Chloride,gayana,100,100,Northeast Side,31.8923694,-98.6172693,71320,1,0,CNPG,
Kerria,japonica,3,200,Northeast Side,31.8923694,-98.6172693,71320,1,0,CNPG,
Dichondra,repens,100,100,Northeast Side,31.8923694,-98.6172693,71320,1,0,CNPG,
Vitis,girdiana,2,100,Northeast Side,29.2727,-98.26.24,71320,1,1,CNPG,
Opuntia,pilifera,1,100,Northeast Side,29.2727,-98.26.24,71320,1,0,CNPG,
Prosopis,pallida,1,100,Northeast Side,29.2727,-98.26.24,71320,1,1,CNPG,
Acanthospermum,Australe,100,100,Downtown,29.258,-98.29.1,89102,1,1,CNPG,
Trachelospermum,Asiaticum,2,100,Downtown,29.258,-98.29.1,89102,1,1,CNPG,
Muhlenbergia,Frondosa,100,100,Downtown,29.258,-98.29.1,89102,1,1,CNPG,
Malvastrum ,Coromandelianum,100,100,Downtown,29.258,-98.29.1,89102,1,1,CNPG,
Calyptocarpus,Vialis,100,100,Northwest,29.3118,-98.30.60,136833,1,0,CNPG,
Callitris,Rhomboidea,1,100,Northwest,29.3118,-98.30.60,136833,1,0,CNPG,
Buxus,Sempervines,4,200,Southwest,29.3743,-98.15.13,38754,1,1,CNPG,
Eriodictyon,Angustifolium,2,100,Southwest,29.3743,-98.15.13,38754,1,0,CNPG,
Rubus,Trivialis,100,100,Southwest,29.3743,-98.15.13,38754,1,1,CNPG,
Inocarpus,Fagifer,2,100,Northeast Side,29.3354,-98.15.13,72110,1,0,CNPG,
Crassula,Helmsii,100,100,Northeast Side,29.3354,-98.15.13,72110,1,1,CNPG,
Bauhinia,Blakeana,1,100,Northeast Side,29.3354,-98.15.13,72110,1,1,CNPG,
Lucuba,Palm,3,200,Northwest,29.5994,-98.6089,91366,1,1,CNPG,
Copernicia,Alba,2,300,Northwest,29.5994,-98.6089,91366,1,1,CNPG,
Kirkia,Acuminata,3,200,Northwest,29.5994,-98.6089,91366,1,0,CNPG,
Vachellia,Cornigera,4,200,West,29.8225,-98.7715,132220,2,0,CNPG,
Prosopis,Pallida,2,300,West,29.8225,-98.7715,13220,2,0,CNPG,
Salix,Amygdaloides,1,100,West,29.8225,-98.7715,13220,2,0,CNPG,
